student_id,school_name,grade_level_2019,year,program_name,fall_math_rit_score,fall_math_percentile,fall_math_quartile,spring_math_rit_score,spring_math_percentile,spring_math_quartile,typical_math_fall_to_spring_growth,actual_math_fall_to_spring_growth,math_growth_difference,fall_reading_rit_score,fall_reading_percentile,fall_reading_quartile,spring_reading_rit_score,spring_reading_percentile,spring_reading_quartile,typical_reading_fall_to_spring_growth,actual_reading_fall_to_spring_growth,reading_growth_difference
13898,School G,1,2019,SPED,166,69,3,186,65,3,20,20,0,161,59,3,175,43,2,18,14,-4
27795,School G,1,2019,SPED,135,4,1,182,53,3,27,47,20,158,50,3,174,40,2,19,16,-3
22938,School E,1,2019,GenEd,160,52,3,180,48,2,21,20,-1,162,62,3,178,51,3,18,16,-2
22431,School F,1,2019,GenEd,164,64,3,180,48,2,20,16,-4,162,62,3,174,40,2,18,12,-6
18048,School E,1,2019,GenEd,151,28,2,163,10,1,23,12,-11,166,73,3,181,59,3,17,15,-2
14407,School E,1,2019,SPED,167,72,3,157,4,1,19,-10,-29,151,29,2,153,5,1,20,2,-18
25452,School F,1,2019,GenEd,176,89,4,204,96,4,17,28,11,183,97,4,192,84,4,13,9,-4
19819,School G,1,2019,GenEd,159,50,3,186,65,3,21,27,6,165,70,3,181,59,3,17,16,-1
24621,School E,1,2019,GenEd,171,81,4,181,51,3,18,10,-8,183,97,4,188,77,4,13,5,-8
10241,School F,1,2019,GenEd,162,58,3,183,56,3,21,21,0,161,59,3,176,46,2,18,15,-3
26151,School G,1,2019,GenEd,177,90,4,196,87,4,17,19,2,164,68,3,190,81,4,18,26,8
25649,School E,1,2019,GenEd,159,50,3,176,36,2,21,17,-4,153,34,2,181,60,3,20,28,8
20881,School G,1,2019,GenEd,174,86,4,202,94,4,18,28,10,180,96,4,192,84,4,14,12,-2
22326,School F,1,2019,GenEd,161,55,3,222,99,4,21,61,40,165,70,3,185,70,3,17,20,3
28196,School G,1,2019,GenEd,159,50,3,177,39,2,21,18,-3,162,62,3,174,40,2,18,12,-6
